Subject_ID,excluded,pressed_button1,pressed_button2,set_1,set_1_trials_total,set_1_chose_shifted,set_1_chose_swapped,set_1_%_shifted,set_1_%_swapped,set_1_rt_shifted,set_1_rt_swapped,set_1_rt,set_1_rt_shifted:average,set_1_rt_swapped:average,set_2,set_2_trials_total,set_2_chose_shifted,set_2_chose_swapped,set_2_%_shifted,set_2_%_swapped,set_2_rt_shifted,set_2_rt_swapped,set_2_rt,set_2_rt_shifted:average,set_2_rt_swapped:average
MEGp0013,False,56,44,"0, 2, 4, 7, 9",50,29,21,0.58,0.42,1418.3486206903854,1185.038571429644,1320.3584000008739,1.07421486521345,0.8975128051814263,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1152.9472000023723,1402.8629999986244,1277.9051000004984,0.9022166043487287,1.0977833956512713
MEGp0014,True,54,46,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,2742.503333340951,3241.4367391181217,2972.0126999984495,0.922776451575184,1.0906537307595667,"0, 1, 2, 3, 5",50,33,17,0.66,0.34,8858.928333336458,5699.071764713153,7784.577100004535,1.1380102245157668,0.7320977994693936
MEGp0015,False,50,50,"0, 2, 4, 7, 9",50,45,5,0.9,0.1,1196.4814444279505,1439.6249999757856,1220.795799982734,0.9800831920005562,1.1792512719949941,"0, 1, 2, 3, 5",50,33,17,0.66,0.34,1072.3303030103896,1539.834411801113,1231.2816999992356,0.8709057423748402,1.250594735390016
MEGp0016,False,50,50,"0, 2, 4, 7, 9",50,28,22,0.56,0.44,1177.3235714271016,2517.1784090919377,1766.8596999996296,0.6663367620119177,1.4246623028939227,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,2260.685468748783,1908.8850000011605,2134.037299999639,1.0593467456024155,0.8944946744845947
MEGp0017,False,47,53,"0, 2, 4, 7, 9",50,29,21,0.58,0.42,3541.958275855246,4557.074285705485,3968.3069999923464,0.8925615573245914,1.1483673732184214,"0, 1, 2, 3, 5",50,28,22,0.56,0.44,3458.6453571433335,3409.623409094903,3437.075700002024,1.0062755839626392,0.9920128931384593
MEGp0018,False,39,61,"0, 2, 4, 7, 9",50,31,19,0.62,0.38,1627.4629032215885,2883.196315797046,2104.6416000002623,0.7732731802038816,1.3699227059831405,"0, 1, 2, 3, 5",50,36,14,0.72,0.28,2241.3355555621674,3122.775357142756,2488.138700004732,0.9008081243854712,1.2550648230087884
MEGp0019,False,42,58,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,1485.9514814775644,1289.72847826789,1395.6889000011142,1.064672421967659,0.9240802002988349,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1445.1351999980398,1555.1118000037968,1500.1235000009183,0.9633441513296439,1.036655848670356
MEGp0022,False,29,71,"0, 2, 4, 7, 9",50,22,28,0.44,0.56,5422.369545455387,30483.179285713803,19456.4230000001,0.27869303342425067,1.566741188023803,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,8937.327600000077,29671.471000001446,19304.39930000076,0.46296843849472824,1.5370315615052719
MEGp0023,True,26,74,"0, 2, 4, 7, 9",50,30,20,0.6,0.4,711.0976666629236,1735.362750000786,1120.8036999980686,0.6344533540210021,1.5483199689684968,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,863.9576923026023,919.8585416682666,890.7900999981211,0.9698779682266614,1.0326322010877835
MEGp0025,False,53,47,"0, 2, 4, 7, 9",50,43,7,0.86,0.14,757.6616279101324,2250.89000000818,966.713600003859,0.783749838532434,2.328393849015049,"0, 1, 2, 3, 5",50,34,16,0.68,0.32,755.7986764586531,846.3253124973562,784.7671999910381,0.9630864751575807,1.0784412402901409
MEGp0027,False,49,51,"0, 2, 4, 7, 9",50,26,24,0.52,0.48,8519.060192307805,6858.891249999983,7722.17910000005,1.1031938112271638,0.8882067045039059,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,2488.398000000276,4337.938600000089,3413.1683000001826,0.7290581012369484,1.2709418987630514
MEGp0028,False,62,38,"0, 2, 4, 7, 9",50,22,28,0.44,0.56,1907.0468181822018,1899.3139285715645,1902.716400000245,1.0022759136264114,0.9982117821506767,"0, 1, 2, 3, 5",50,24,26,0.48,0.52,1633.3685416667988,1586.773653846158,1609.1392000000656,1.0150573310666549,0.9861009251692416
MEGp0029,False,40,60,"0, 2, 4, 7, 9",50,30,20,0.6,0.4,1357.5234999986985,3866.0754999989877,2360.944299998814,0.5749917522405676,1.6375123716391486,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,1120.3150000018068,1961.17750000001,1523.9290000009444,0.7351490784682965,1.2869218316593454
MEGp0030,False,42,58,"0, 2, 4, 7, 9",50,32,18,0.64,0.36,7192.97343751532,4310.406388883065,6155.249300007708,1.1685917315333292,0.7002813661629704,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,13500.160384623226,2974.9402083301297,8448.05470000254,1.598020001529958,0.3521449983425457
MEGp0031,False,58,42,"0, 2, 4, 7, 9",50,35,15,0.7,0.3,2018.3851428571033,3506.854666666353,2464.925999999878,0.8188420840452019,1.4227018038945292,"0, 1, 2, 3, 5",50,29,21,0.58,0.42,2253.7303448274356,3547.9640476188824,2797.308499999843,0.8056781527055603,1.2683492176923215
MEGp0032,True,45,55,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,1783.4968518517499,1762.4395652117369,1773.8104999973439,1.0054607591140206,0.9935895436487584,"0, 1, 2, 3, 5",50,22,28,0.44,0.56,2044.5279545436445,2235.302142865424,2151.361500003841,0.9503414254368661,1.0390174514424624
MEGp0033,False,51,49,"0, 2, 4, 7, 9",50,47,3,0.94,0.06,879.0090425470052,1062.9799999684717,890.0472999922931,0.9875981226555223,1.1942960783968177,"0, 1, 2, 3, 5",50,34,16,0.68,0.32,957.8438235296155,2551.3381249984377,1467.7619999996386,0.6525879696639179,1.7382505644641746
MEGp0034,True,53,47,"0, 2, 4, 7, 9",50,39,11,0.78,0.22,1780.2966666670445,2973.6368181818925,2042.831500000311,0.871484832041592,1.4556446863979922,"0, 1, 2, 3, 5",50,24,26,0.48,0.52,1519.785416666622,2056.7773076954136,1799.0212000015936,0.844784606576774,1.1432757477752857
MEGp0036,False,38,62,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,39187.66314814868,26655.36630434699,33422.8065999999,1.1724827186759592,0.7975202867717001,"0, 1, 2, 3, 5",50,29,21,0.58,0.42,28520.64741379073,17685.11428571193,23969.723499997635,1.1898613437820234,0.7378105252533962
MEGp0038,False,53,47,"0, 2, 4, 7, 9",50,41,9,0.82,0.18,1283.9697560980326,2193.8294444407024,1447.744499999713,0.8868759343228636,1.5153429658625104,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,1576.5021874976228,958.3952777740132,1353.9836999971233,1.164343549705194,0.7078336894129889
MEGp0039,False,52,48,"0, 2, 4, 7, 9",50,28,22,0.56,0.44,2221.395357179322,2810.844090925953,2480.75280002784,0.8954521212893091,1.1330609365408792,"0, 1, 2, 3, 5",50,30,20,0.6,0.4,5837.425833335146,2282.3697499465197,4415.403399979696,1.3220594597001012,0.5169108104498482
MEGp0040,False,54,46,"0, 2, 4, 7, 9",50,25,25,0.5,0.5,1662.5023999996483,2456.5891999937594,2059.545799996704,0.8072179798100674,1.1927820201899326,"0, 1, 2, 3, 5",50,23,27,0.46,0.54,2335.6141304070857,1582.8974074123564,1929.147099989932,1.2106977899296922,0.820516697467299
MEGp0041,False,60,40,"0, 2, 4, 7, 9",50,25,25,0.5,0.5,3983.878400000413,4043.292399998782,4013.5853999995975,0.992598388463545,1.007401611536455,"0, 1, 2, 3, 5",50,23,27,0.46,0.54,2686.7278260893754,4897.835740740894,3880.7261000011954,0.6923260639519362,1.2620926121890914
MEGp0042,False,45,55,"0, 2, 4, 7, 9",50,44,6,0.88,0.12,1530.90806818259,2605.4833333328133,1659.8571000006166,0.922313172731569,1.5697033999684946,"0, 1, 2, 3, 5",50,23,27,0.46,0.54,1868.0663043481359,1568.4681481468854,1706.2832999994605,1.0948160275311412,0.9192307913623613
MEGp0043,False,47,53,"0, 2, 4, 7, 9",50,20,30,0.4,0.6,4899.969749990851,5668.963166660008,5361.365799992345,0.9139405764847918,1.0573729490101387,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1757.7012000000104,9125.204799999483,5441.452999999747,0.32302056086859376,1.6769794391314061
MEGp0045,False,71,29,"0, 2, 4, 7, 9",50,26,24,0.52,0.48,5100.892307692067,7306.850208333478,6159.752099999944,0.8281002587250408,1.1862247197145392,"0, 1, 2, 3, 5",50,27,23,0.54,0.46,6501.970185185482,3344.0658695645766,5049.334199999866,1.287688619459107,0.6622785771567002
MEGp0047,False,48,52,"0, 2, 4, 7, 9",50,28,22,0.56,0.44,2096.0469642845314,2679.181590911784,2352.6262000005227,0.8909392254001361,1.1388046222180084,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,1784.9320312525379,2985.2502777745635,2217.046600000467,0.8050945033145275,1.3464986607741734
MEGp0048,False,53,47,"0, 2, 4, 7, 9",50,35,15,0.7,0.3,1947.237285715142,3251.4849999987055,2338.511600000211,0.8326823290998284,1.3904078987670672,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,2367.977031250117,2534.855277774739,2428.0531999989807,0.9752574742806751,1.0439867123899111
MEGp0049,False,56,44,"0, 2, 4, 7, 9",50,31,19,0.62,0.38,1102.3501612902355,2061.570526315702,1466.8538999999128,0.7515064460682152,1.4054368511518596,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1428.649999999883,1726.029599999974,1577.3397999999286,0.9057338184200688,1.094266181579931
MEGp0050,False,49,51,"0, 2, 4, 7, 9",50,36,14,0.72,0.28,1730.7780555759866,1539.994642836973,1677.3587000090629,1.0318473058664406,0.9181069277720099,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1735.687199998647,2565.5501999892294,2150.618699993938,0.8070641253159099,1.1929358746840901
MEGp0052,False,56,44,"0, 2, 4, 7, 9",50,26,24,0.52,0.48,2949.485192307918,4688.4916666670715,3784.2083000003117,0.7794193549830952,1.2389623654349802,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,3955.6194230777105,2837.8789583354032,3419.104000001403,1.156916965110183,0.830006621130635
MEGp0055,False,44,56,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,9266.298518513968,4585.597608699059,7113.176099999109,1.3026949408036064,0.6446624607957664,"0, 1, 2, 3, 5",50,27,23,0.54,0.46,2708.3066666533273,4340.539565213713,3459.1337999911048,0.7829435989611884,1.2548053403499093
MEGp0056,True,57,43,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,2106.0088888905875,2396.1308695636485,2239.4650000001957,0.9404071458542123,1.0699568287798376,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,2114.3301923080758,2758.148124994497,2423.362799997558,0.87247777852751,1.1381490732618642
MEGp0057,True,47,53,"0, 2, 4, 7, 9",50,28,22,0.56,0.44,973.4480357126033,947.0179545407353,961.8187999969814,1.012090880024032,0.9846116072421411,"0, 1, 2, 3, 5",50,21,29,0.42,0.58,944.4869047729298,803.8498275885198,862.917400005972,1.0945275929844425,0.9315489843905762
MEGp0058,False,47,53,"0, 2, 4, 7, 9",50,32,18,0.64,0.36,1070.527031249998,1658.2538888888182,1282.1086999999732,0.8349736892433693,1.293380108011788,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1337.3451999999106,1710.0882000000006,1523.7166999999556,0.87768625230658,1.12231374769342
MEGp0059,True,36,64,"0, 2, 4, 7, 9",50,31,19,0.62,0.38,2362.4075806451874,1437.0121052630489,2010.7572999999747,1.1748844978184174,0.7146621351383714,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,1936.2662000000348,2458.3707999999274,2197.318499999981,0.88119505661107,1.11880494338893
MEGp0061,False,47,53,"0, 2, 4, 7, 9",50,37,13,0.74,0.26,1503.350675675524,3072.0873076889593,1911.2221999990172,0.7865912585550214,1.607394110266477,"0, 1, 2, 3, 5",50,28,22,0.56,0.44,1201.3199999985643,1712.8124999997779,1426.3766999990983,0.8422179077934487,1.200813571899247
MEGp0062,False,56,44,"0, 2, 4, 7, 9",50,26,24,0.52,0.48,1630.5117307691746,1960.180833333252,1788.7528999999317,0.9115354785835633,1.0958365648678063,"0, 1, 2, 3, 5",50,24,26,0.48,0.52,4637.958749999977,10136.974038461589,7497.446700000016,0.6186050979195313,1.3520568326896631
MEGp0064,True,43,57,"0, 2, 4, 7, 9",50,33,17,0.66,0.34,2271.9606060612327,2828.794411753359,2461.2840999965556,0.9230793820446864,1.1493164936779616,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,1655.0157812453108,3371.7444444450343,2273.0380999972112,0.7281073648731806,1.4833646846699011
MEGp0065,False,60,40,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,1335.408703699984,2001.5721739214116,1641.8439000018407,0.8133591163559988,1.2191001677560014,"0, 1, 2, 3, 5",50,31,19,0.62,0.38,1710.5880645160082,1839.1589473712404,1759.4450000009965,0.9722316210595042,1.0453063024818614
MEGp0066,False,45,55,"0, 2, 4, 7, 9",50,35,15,0.7,0.3,1331.1861428432167,1224.1613333346322,1299.0786999906413,1.0247155486829294,0.942330386406498,"0, 1, 2, 3, 5",50,32,18,0.64,0.36,814.8031249947962,1271.6100000026117,979.2535999976099,0.832065488446287,1.2985502427621562
MEGp0067,False,45,55,"0, 2, 4, 7, 9",50,36,14,0.72,0.28,1618.2136111116658,1933.284642873332,1706.4335000049323,0.9483015957592186,1.1329387537620095,"0, 1, 2, 3, 5",50,33,17,0.66,0.34,2024.1933333278266,1679.7850000028334,1907.094499997329,1.061401694216339,0.8808084759329892
MEGp0069,False,44,56,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,2643.8644444440165,3527.074999999984,3050.1412999997615,0.8668006444305459,1.1563644608858807,"0, 1, 2, 3, 5",50,27,23,0.54,0.46,1573.632222221703,3429.0647826084723,2427.131199999617,0.6483507040006536,1.4128056953035804
MEGp0070,True,38,62,"0, 2, 4, 7, 9",50,29,21,0.58,0.42,3435.9758620689518,3436.0688095237974,3436.014899999987,0.9999886386025174,1.0000156895489045,"0, 1, 2, 3, 5",50,29,21,0.58,0.42,4364.170172413812,3960.4995238096362,4194.628500000058,1.0404187575642876,0.94418362050646
MEGp0071,False,39,61,"0, 2, 4, 7, 9",50,38,12,0.76,0.24,3015.7503947358286,2718.0437499967716,2944.3007999984547,1.0242670839669001,0.9231542341048163,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,3028.7972000055015,2660.699400017038,2844.7483000112697,1.0646977801141502,0.9353022198858498
MEGp0072,False,52,48,"0, 2, 4, 7, 9",50,28,22,0.56,0.44,2812.344821427741,2224.2795454539273,2553.596099999263,1.1013271916528038,0.8710381197146131,"0, 1, 2, 3, 5",50,26,24,0.52,0.48,2582.1919230757767,2277.8897916675,2436.1268999998038,1.0599578876929543,0.9350456216659664
MEGp0073,False,48,52,"0, 2, 4, 7, 9",50,32,18,0.64,0.36,2886.010312504368,2838.943611111052,2869.0663000027744,1.0059057584349227,0.9895008738934709,"0, 1, 2, 3, 5",50,22,28,0.44,0.56,3640.792727274598,3354.5542857142364,3480.4992000007956,1.046054751937241,0.963814123477882
MEGp0074,False,40,60,"0, 2, 4, 7, 9",50,27,23,0.54,0.46,5535.723148148281,19088.051956521806,11769.794400000103,0.47033303726598935,1.621782956252969,"0, 1, 2, 3, 5",50,25,25,0.5,0.5,5151.545599999957,4603.30799999983,4877.426799999894,1.0562015200310273,0.9437984799689726
